63
(-50,3.55271e-015) 0 (-38.8889,3.55271e-015) 18 6.21484e-005 0.0001 0 7 48
(-50,33.3333) 1 (-38.8889,33.3333) 24 6.93603e-005 0.0001 1 16 41
(-50,-33.3333) 2 (-38.8889,-33.3333) 40 5.00723e-005 0.0001 2 37 38 45
(-50,44.4444) 3 (-38.8889,44.4444) 42 6.60574e-005 0.0001 3 40 41
(-50,-44.4444) 4 (-38.8889,-44.4444) 44 4.72949e-005 0.0001 4 44 45
(-50,-22.2222) 5 (-38.8889,-22.2222) 47 5.17879e-005 0.0001 5 38 50 51
(-50,-11.1111) 6 (-38.8889,-11.1111) 46 5.61977e-005 0.0001 6 48 49 50
(-38.8889,3.55271e-015) 18 (-27.7778,3.55271e-015) 19 6.80992e-005 0.0001 7 0 8 48 52
(-27.7778,3.55271e-015) 19 (-16.6667,3.55271e-015) 20 8.74926e-005 0.0001 8 7 9 10 24 52
(-16.6667,3.55271e-015) 20 (-5.55556,3.55271e-015) 21 9.46828e-005 0.0001 9 8 10 11 12 24
(-16.6667,3.55271e-015) 20 (-16.6667,11.1111) 36 5.44594e-005 0.0001 10 8 9 24 31 32
(-5.55556,3.55271e-015) 21 (5.55556,3.55271e-015) 22 8.33143e-005 0.0001 11 9 12 13 59
(-5.55556,3.55271e-015) 21 (-5.55556,11.1111) 50 1.13685e-005 0.0001 12 9 11 32 56 57
(5.55556,3.55271e-015) 22 (16.6667,3.55271e-015) 23 9.36125e-005 0.0001 13 11 14 15 36 59
(16.6667,3.55271e-015) 23 (50,3.55271e-015) 7 0.000136883 0.0001 14 13 15 36
(16.6667,3.55271e-015) 23 (16.6667,-33.3333) 37 9.26221e-006 0.0001 15 13 14 29 33 36
(-38.8889,33.3333) 24 (-27.7778,33.3333) 25 7.26632e-005 0.0001 16 1 17 41 43
(-27.7778,33.3333) 25 (-16.6667,33.3333) 26 8.58747e-005 0.0001 17 16 18 19 28 43
(-16.6667,33.3333) 26 (-5.55556,33.3333) 27 8.82486e-005 0.0001 18 17 19 20 21 28
(-16.6667,33.3333) 26 (-16.6667,22.2222) 35 4.71691e-005 0.0001 19 17 18 28 30 31
(-5.55556,33.3333) 27 (5.55556,33.3333) 28 7.92914e-005 0.0001 20 18 21 22 62
(-5.55556,33.3333) 27 (-5.55556,22.2222) 52 8.95726e-006 0.0001 21 18 20 30 57 60
(5.55556,33.3333) 28 (16.6667,33.3333) 29 8.93188e-005 0.0001 22 20 23 35 62
(16.6667,33.3333) 29 (50,33.3333) 8 0.000138414 0.0001 23 22 35
