9
(-50,3.55271e-015) 0 (-16.6667,3.55271e-015) 10 0.1 0.0001 0 3
(-50,33.3333) 1 (-16.6667,33.3333) 12 0.1 0.0001 1 5
(-50,-33.3333) 2 (-16.6667,-33.3333) 14 0.1 0.0001 2 7
(-16.6667,3.55271e-015) 10 (16.6667,3.55271e-015) 11 0.1 0.0001 3 0 4
(16.6667,3.55271e-015) 11 (50,3.55271e-015) 3 0.1 0.0001 4 3
(-16.6667,33.3333) 12 (16.6667,33.3333) 13 0.1 0.0001 5 1 6
(16.6667,33.3333) 13 (50,33.3333) 4 0.1 0.0001 6 5
(-16.6667,-33.3333) 14 (16.6667,-33.3333) 15 0.1 0.0001 7 2 8
(16.6667,-33.3333) 15 (50,-33.3333) 5 0.1 0.0001 8 7
