65
(-50,3.55271e-015) 0 (-38.8889,3.55271e-015) 18 0.0621484 0.0001 0 7 48
(-50,33.3333) 1 (-38.8889,33.3333) 24 0.0693603 0.0001 1 16 41
(-50,-33.3333) 2 (-38.8889,-33.3333) 40 0.0500723 0.0001 2 37 38 45
(-50,44.4444) 3 (-38.8889,44.4444) 42 0.0660574 0.0001 3 40 41
(-50,-44.4444) 4 (-38.8889,-44.4444) 44 0.0472949 0.0001 4 44 45
(-50,-22.2222) 5 (-38.8889,-22.2222) 47 0.0517879 0.0001 5 38 50 51
(-50,-11.1111) 6 (-38.8889,-11.1111) 46 0.0561977 0.0001 6 48 49 50
(-38.8889,3.55271e-015) 18 (-27.7778,3.55271e-015) 19 0.0680992 0.0001 7 0 8 48 52
(-27.7778,3.55271e-015) 19 (-16.6667,3.55271e-015) 20 0.0874926 0.0001 8 7 9 10 24 52
(-16.6667,3.55271e-015) 20 (-5.55556,3.55271e-015) 21 0.0946828 0.0001 9 8 10 11 12 24
(-16.6667,3.55271e-015) 20 (-16.6667,11.1111) 36 0.0544594 0.0001 10 8 9 24 31 32
(-5.55556,3.55271e-015) 21 (5.55556,3.55271e-015) 22 0.0833143 0.0001 11 9 12 13 60
(-5.55556,3.55271e-015) 21 (-5.55556,11.1111) 50 0.0113685 0.0001 12 9 11 32 57 58
(5.55556,3.55271e-015) 22 (16.6667,3.55271e-015) 23 0.0936125 0.0001 13 11 14 15 36 60
(16.6667,3.55271e-015) 23 (50,3.55271e-015) 7 0.136883 0.0001 14 13 15 36
(16.6667,3.55271e-015) 23 (16.6667,-33.3333) 37 0.00926221 0.0001 15 13 14 29 33 36
(-38.8889,33.3333) 24 (-27.7778,33.3333) 25 0.0726632 0.0001 16 1 17 41 43
(-27.7778,33.3333) 25 (-16.6667,33.3333) 26 0.0858747 0.0001 17 16 18 19 28 43
(-16.6667,33.3333) 26 (-5.55556,33.3333) 27 0.0882486 0.0001 18 17 19 20 21 28
(-16.6667,33.3333) 26 (-16.6667,22.2222) 35 0.0471691 0.0001 19 17 18 28 30 31
(-5.55556,33.3333) 27 (5.55556,33.3333) 28 0.0792914 0.0001 20 18 21 22 64
(-5.55556,33.3333) 27 (-5.55556,22.2222) 52 0.00895726 0.0001 21 18 20 30 58 61
(5.55556,33.3333) 28 (16.6667,33.3333) 29 0.0893188 0.0001 22 20 23 35 64
(16.6667,33.3333) 29 (50,33.3333) 8 0.138414 0.0001 23 22 35
(-16.6667,-11.1111) 30 (-16.6667,3.55271e-015) 20 0.0616496 0.0001 24 8 9 10 26 53
(-16.6667,-22.2222) 31 (-16.6667,-33.3333) 34 0.0223823 0.0001 25 26 27 29 39 56
(-16.6667,-22.2222) 31 (-16.6667,-11.1111) 30 0.0164134 0.0001 26 24 25 53 56
(-16.6667,-44.4444) 32 (-16.6667,-33.3333) 34 0.0351235 0.0001 27 25 29 39 46
(-16.6667,44.4444) 33 (-16.6667,33.3333) 26 0.0495431 0.0001 28 17 18 19 42
(-16.6667,-33.3333) 34 (16.6667,-33.3333) 37 0.118359 0.0001 29 15 25 27 33 39
(-16.6667,22.2222) 35 (-5.55556,22.2222) 52 0.0500368 0.0001 30 19 21 31 58 61
(-16.6667,11.1111) 36 (-16.6667,22.2222) 35 0.00286764 0.0001 31 10 19 30 32
(-16.6667,11.1111) 36 (-5.55556,11.1111) 50 0.0515918 0.0001 32 10 12 31 57 58
(16.6667,-33.3333) 37 (50,-33.3333) 9 0.127621 0.0001 33 15 29
(16.6667,22.2222) 38 (16.6667,11.1111) 39 0.0011553 0.0001 34 35 36 59 62
(16.6667,22.2222) 38 (16.6667,33.3333) 29 0.0490955 0.0001 35 22 23 34 62
(16.6667,11.1111) 39 (16.6667,3.55271e-015) 23 0.052533 0.0001 36 13 14 15 34 59
(-38.8889,-33.3333) 40 (-27.7778,-33.3333) 41 0.0511341 0.0001 37 2 38 39 45 47 54
(-38.8889,-33.3333) 40 (-38.8889,-22.2222) 47 0.00171555 0.0001 38 2 5 37 45 50 51
(-27.7778,-33.3333) 41 (-16.6667,-33.3333) 34 0.0608531 0.0001 39 25 27 29 37 47 54
(-38.8889,44.4444) 42 (-27.7778,44.4444) 43 0.0627546 0.0001 40 3 41 42 43
(-38.8889,44.4444) 42 (-38.8889,33.3333) 24 0.00330287 0.0001 41 1 3 16 40
(-27.7778,44.4444) 43 (-16.6667,44.4444) 33 0.0495431 0.0001 42 28 40 43
(-27.7778,44.4444) 43 (-27.7778,33.3333) 25 0.0132115 0.0001 43 16 17 40 42
(-38.8889,-44.4444) 44 (-27.7778,-44.4444) 45 0.0445175 0.0001 44 4 45 46 47
(-38.8889,-44.4444) 44 (-38.8889,-33.3333) 40 0.00277739 0.0001 45 2 4 37 38 44
(-27.7778,-44.4444) 45 (-16.6667,-44.4444) 32 0.0351235 0.0001 46 27 44 47
(-27.7778,-44.4444) 45 (-27.7778,-33.3333) 41 0.00939399 0.0001 47 37 39 44 46 54
(-38.8889,-11.1111) 46 (-38.8889,3.55271e-015) 18 0.00595078 0.0001 48 0 6 7 49 50
(-38.8889,-11.1111) 46 (-27.7778,-11.1111) 48 0.0546567 0.0001 49 6 48 50 52 53 55
(-38.8889,-22.2222) 47 (-38.8889,-11.1111) 46 0.00440981 0.0001 50 5 6 38 48 49 51
(-38.8889,-22.2222) 47 (-27.7778,-22.2222) 49 0.0490936 0.0001 51 5 38 50 54 55 56
(-27.7778,-11.1111) 48 (-27.7778,3.55271e-015) 19 0.0193933 0.0001 52 7 8 49 53 55
(-27.7778,-11.1111) 48 (-16.6667,-11.1111) 30 0.0452362 0.0001 53 24 26 49 52 55
(-27.7778,-22.2222) 49 (-27.7778,-33.3333) 41 0.000324978 0.0001 54 37 39 47 51 55 56
(-27.7778,-22.2222) 49 (-27.7778,-11.1111) 48 0.00997289 0.0001 55 49 51 52 53 54 56
(-27.7778,-22.2222) 49 (-16.6667,-22.2222) 31 0.0387957 0.0001 56 25 26 51 54 55
(-5.55556,11.1111) 50 (5.55556,11.1111) 51 0.0616476 0.0001 57 12 32 58 59 60 63
(-5.55556,11.1111) 50 (-5.55556,22.2222) 52 0.00131262 0.0001 58 12 21 30 32 57 61
(5.55556,11.1111) 51 (16.6667,11.1111) 39 0.0513777 0.0001 59 34 36 57 60 63
(5.55556,11.1111) 51 (5.55556,3.55271e-015) 22 0.0102982 0.0001 60 11 13 57 59 63
(-5.55556,22.2222) 52 (5.55556,22.2222) 53 0.0603066 0.0001 61 21 30 58 62 63 64
(5.55556,22.2222) 53 (16.6667,22.2222) 38 0.0502508 0.0001 62 34 35 61 63 64
(5.55556,22.2222) 53 (5.55556,11.1111) 51 2.83639e-005 0.0001 63 57 59 60 61 62 64
(5.55556,22.2222) 53 (5.55556,33.3333) 28 0.0100275 0.0001 64 20 22 61 62 63
